0,1003
0.000,4763
0.0001,1693
0.0005,4503
0.001,4230
0.002,4861
0.003,4568
0.004,4859
0.00675,4496
0.01,2624
0.010,4398
0.012,3560
0.013,3403
0.014,4291
0.02,3268
0.02025,4497
0.025,3396
0.028,3402
0.03,4183
0.04,3808
0.05,2127
0.06,4524
0.066,4498
0.08,4525
0.0904,2664
0.1,2391
0.10,2128
0.11,2010
0.117,3934
0.12,3625
0.120,3935
0.13,4290
0.14,4526
0.1428,4824
0.14x10,3618
0.15,3317
0.15x106,4281
0.16,4527
0.18,4289
0.182,3790
0.1875,2076
0.19,3584
0.195e,3787
0.199,3104
0.2,1858
0.21,4033
0.211,3933
0.22,3241
0.25,4710
0.254,2665
0.262,3220
0.3,1479
0.30,3823
0.32,2011
0.33,3605
0.35,1117
0.36,2979
0.367,2666
0.368,4660
0.38,3311
0.4,921
0.40,335
0.42,3607
0.43,3553
0.44,4031
0.45,1631
0.46,337
0.5,1144
0.50,1270
0.500,3283
0.53,2224
0.55,4700
0.57,4888
0.5772,3886
0.58,4714
0.6,2061
0.60,2159
0.62,4390
0.635,1364
0.65,2274
0.69,4032
0.6x10,3555
0.7,1738
0.70,4392
0.71,3467
0.715,670
0.72,2669
0.725,3392
0.73,4210
0.737,4261
0.741,4499
0.75,1086
0.76,3082
0.8,2060
0.80,3923
0.800,4264
0.805,4262
0.823,3559
0.825,4258
0.84,2970
0.840,3561
0.85,2227
0.854,4263
0.8a,3810
0.9,2358
0.90,2173
0.92,2275
0.95,2222
0.952,2278
0.96,3840
0.98,2285
000,1115
000degr,2628
000degreek,3318
000k,4829
01,3951
0degr,3615
1,212
1.0,1118
1.00,4397
1.008,1747
1.03,2980
1.05,2164
1.064,2947
1.07,4273
1.08,3516
1.09,2160
1.1,2191
1.10,3836
1.11,2572
1.12,3872
1.13,3942
1.15,2192
1.17,2896
1.2,1956
1.20,3678
1.23849,3098
1.24,3948
1.25,2130
1.27,3640
1.3,1101
1.30,1589
1.33,3480
1.35,3198
1.39,3477
1.3x10,3586
1.4,2193
1.40,2077
1.400,3221
1.43,4882
1.45,2481
1.450,3632
1.46,4820
1.479,1757
1.48,2971
1.5,306
1.50,3837
1.52,3949
1.55,3515
1.58,4760
