QueryID,Rank,Precision,Recall
151801,1,0.000000,0.000000
151801,2,0.500000,0.020408
151801,3,0.666667,0.040816
151801,4,0.750000,0.061224
151801,5,0.800000,0.081633
151801,6,0.833333,0.102041
151801,7,0.857143,0.122449
151801,8,0.875000,0.142857
151801,9,0.888889,0.163265
151801,10,0.900000,0.183673
151801,11,0.909091,0.204082
151801,12,0.916667,0.224490
151801,13,0.923077,0.244898
151801,14,0.928571,0.265306
151801,15,0.933333,0.285714
151801,16,0.937500,0.306122
151801,17,0.941176,0.326531
151801,18,0.944444,0.346939
151801,19,0.947368,0.367347
151801,20,0.950000,0.387755
151801,21,0.952381,0.408163
151801,22,0.954545,0.428571
151801,23,0.956522,0.448980
151801,24,0.958333,0.469388
151801,25,0.960000,0.489796
151801,26,0.961538,0.510204
151801,27,0.962963,0.530612
151801,28,0.964286,0.551020
151801,29,0.965517,0.571429
151801,30,0.966667,0.591837
151801,31,0.967742,0.612245
151801,32,0.968750,0.632653
151801,33,0.969697,0.653061
151801,34,0.970588,0.673469
151801,35,0.971429,0.693878
151801,36,0.972222,0.714286
151801,37,0.972973,0.734694
151801,38,0.973684,0.755102
151801,39,0.974359,0.775510
151801,40,0.975000,0.795918
151801,41,0.975610,0.816327
151801,42,0.976190,0.836735
151801,43,0.976744,0.857143
151801,44,0.977273,0.877551
151801,45,0.977778,0.897959
151801,46,0.978261,0.918367
151801,47,0.978723,0.938776
151801,48,0.979167,0.959184
151801,49,0.979592,0.979592
151801,50,0.980000,1.000000
151801,51,0.960784,1.000000
151801,52,0.942308,1.000000
151801,53,0.924528,1.000000
151801,54,0.907407,1.000000
151801,55,0.890909,1.000000
151801,56,0.875000,1.000000
151801,57,0.859649,1.000000
151801,58,0.844828,1.000000
151801,59,0.830508,1.000000
151801,60,0.816667,1.000000
151801,61,0.803279,1.000000
151801,62,0.790323,1.000000
151801,63,0.777778,1.000000
151801,64,0.765625,1.000000
151801,65,0.753846,1.000000
151801,66,0.742424,1.000000
151801,67,0.731343,1.000000
151801,68,0.720588,1.000000
151801,69,0.710145,1.000000
151801,70,0.700000,1.000000
151801,71,0.690141,1.000000
